date,district,rainfall,ndvi_score,Price of water,Sorghum prices,Maize prices,Red Rice prices,New Admissions (GAM),Measles Cases,AWD/cholera cases,AWD/Cholera deaths,Malaria Cases,Insecurity - Incidents,Insecurity - Fatalities,Displacement (arrivals),Displacement (departures),Total alarms
2021-12-01,Mogadishu,0.27,0.22,,9.95,13.95,13.5,10.271,160.0,937.0,,7.0,51.0,42.0,56300 - 56400,9900 - 10000,12
2021-12-01,Afgooye,2.33,0.35,,13.5,13.5,16,1.649,,22.0,,,47.0,26.0,400 - 500,3000 - 3100,7
2021-12-01,Bossaso,2.79,0.18,15.0,48.0,,28,1.257,,,,2.0,4.0,20.0,13700 - 13800,16200 - 16300,9
2021-12-01,Balcad,1.06,0.38,,15.0,13.0,17,442.0,14.0,,,,5.0,18.0,0 - 100,200 - 300,9
2021-12-01,Baydhaba,7.46,0.32,30.0,14.1,16.5,17,5.411,162.0,165.0,,44.0,13.0,14.0,4200 - 4300,6500 - 6500,14
2021-12-01,Laas Caanood,1.85,0.14,80.0,,,32,562.0,,,,,7.0,14.0,1300 - 1400,1000 - 1100,5
2021-12-01,Belet Weyne,0.69,0.2,25.0,22.125,17.25,18,2.213,1.0,8.0,,,13.0,13.0,1600 - 1700,1600 - 1700,10
2021-12-01,Kismaayo,80.7,0.57,52.0,,17.5,15,1.104,20.0,,,,22.0,13.0,15000 - 15100,1200 - 1300,8
2021-12-01,Waajid,1.78,0.22,,17.0,17.0,41,639.0,,,,,4.0,12.0,,1200 - 1300,8
2021-12-01,Marka,5.26,0.49,52.0,14.0,12.5,16,757.0,9.0,3.0,,1.0,29.0,12.0,300 - 400,600 - 700,8
2021-12-01,Cabudwaaq,0.91,0.19,20.0,26.0,18.0,31.2,394.0,,,,,4.0,8.0,,,7
2021-12-01,Jowhar,5.0,0.37,14.0,11.5,10.125,17,1.322,20.0,31.0,,2.0,17.0,8.0,1300 - 1400,1400 - 1500,9
2021-12-01,Buur Hakaba,3.52,0.4,,11.75,14.0,18,123.0,,,,,2.0,4.0,,1900 - 2000,10
2021-12-01,Diinsoor,7.56,0.38,35.0,12.75,15.75,29,,,,,,2.0,3.0,200 - 300,3400 - 3400,10
2021-12-01,Garbahaarey,6.11,0.28,,,,,1.606,,,,3.0,2.0,3.0,300 - 400,400 - 500,4
2021-12-01,Afmadow,61.38,0.47,20.0,,14.0,20,885.0,,,,,10.0,3.0,2500 - 2600,600 - 700,6
2021-12-01,Owdweyne,2.73,0.18,,,,,39.0,,,,,2.0,3.0,,0 - 100,2
2021-12-01,Buuhoodle,3.42,0.19,,,,,108.0,,,,,4.0,2.0,1000 - 1100,1200 - 1300,2
