date,district,MAM_admissions,SAM_admissions
2019-01-01,Afgooye,1547.0,903.0
2019-02-01,Afgooye,2306.0,997.0
2019-03-01,Afgooye,2299.0,485.0
2019-04-01,Afgooye,2928.0,274.0
2019-05-01,Afgooye,843.0,708.0
2019-06-01,Afgooye,928.0,869.0
2019-07-01,Afgooye,1300.0,810.0
2019-08-01,Afgooye,985.0,569.0
2019-09-01,Afgooye,969.0,603.0
2019-10-01,Afgooye,1047.0,687.0
2019-11-01,Afgooye,1270.0,669.0
2019-12-01,Afgooye,1797.0,1166.0
2020-01-01,Afgooye,655.0,977.0
2020-02-01,Afgooye,864.0,740.0
2020-03-01,Afgooye,705.0,1174.0
2020-04-01,Afgooye,2055.0,1131.0
2020-05-01,Afgooye,2337.0,1608.0
2020-06-01,Afgooye,2655.0,1531.0
2020-07-01,Afgooye,977.0,1274.0
2020-08-01,Afgooye,1996.0,1082.0
2020-09-01,Afgooye,1871.0,1088.0
2020-10-01,Afgooye,1553.0,766.0
2020-11-01,Afgooye,1834.0,978.0
2020-12-01,Afgooye,2800.0,1246.0
2021-01-01,Afgooye,2362.0,1059.0
2021-02-01,Afgooye,1877.0,926.0
2021-03-01,Afgooye,1817.0,1119.0
2021-04-01,Afgooye,1981.0,868.0
2021-05-01,Afgooye,2440.0,793.0
2021-06-01,Afgooye,1335.0,1001.0
2021-07-01,Afgooye,1216.0,916.0
2021-08-01,Afgooye,1264.0,927.0
2021-09-01,Afgooye,1313.0,961.0
2021-10-01,Afgooye,1235.0,884.0
2021-11-01,Afgooye,1332.0,803.0
2019-01-01,Afmadow,990.0,456.0
2019-02-01,Afmadow,889.0,499.0
2019-03-01,Afmadow,737.0,474.0
2019-04-01,Afmadow,864.0,395.0
2019-05-01,Afmadow,638.0,487.0
2019-06-01,Afmadow,438.0,527.0
2019-07-01,Afmadow,598.0,364.0
2019-08-01,Afmadow,686.0,710.0
2019-09-01,Afmadow,841.0,480.0
2019-10-01,Afmadow,973.0,451.0
2019-11-01,Afmadow,895.0,472.0
2019-12-01,Afmadow,757.0,679.0
2020-01-01,Afmadow,994.0,567.0
2020-02-01,Afmadow,855.0,443.0
2020-03-01,Afmadow,1001.0,492.0
2020-04-01,Afmadow,1237.0,469.0
2020-05-01,Afmadow,668.0,339.0
2020-06-01,Afmadow,651.0,386.0
2020-07-01,Afmadow,1333.0,522.0
2020-08-01,Afmadow,1047.0,295.0
2020-09-01,Afmadow,473.0,316.0
2020-10-01,Afmadow,505.0,216.0
2020-11-01,Afmadow,473.0,387.0
2020-12-01,Afmadow,435.0,519.0
2021-01-01,Afmadow,774.0,534.0
2021-02-01,Afmadow,535.0,489.0
2021-03-01,Afmadow,1198.0,494.0
2021-04-01,Afmadow,923.0,307.0
2021-05-01,Afmadow,1012.0,341.0
2021-06-01,Afmadow,707.0,283.0
2021-07-01,Afmadow,734.0,206.0
2021-08-01,Afmadow,1054.0,418.0
2021-09-01,Afmadow,563.0,241.0
2021-10-01,Afmadow,552.0,198.0
2021-11-01,Afmadow,411.0,244.0
2019-01-01,Baardheere,0.0,316.0
2019-02-01,Baardheere,0.0,216.0
2019-03-01,Baardheere,55.0,142.0
2019-04-01,Baardheere,0.0,122.0
2019-05-01,Baardheere,111.0,8.0
2019-06-01,Baardheere,329.0,160.0
2019-07-01,Baardheere,128.0,134.0
2019-08-01,Baardheere,40.0,132.0
2019-09-01,Baardheere,0.0,350.0
2019-10-01,Baardheere,156.0,284.0
2019-11-01,Baardheere,111.0,297.0
2019-12-01,Baardheere,345.0,90.0
2020-01-01,Baardheere,281.0,182.0
2020-02-01,Baardheere,278.0,184.0
2020-03-01,Baardheere,219.0,243.0
2020-04-01,Baardheere,262.0,446.0
2020-05-01,Baardheere,0.0,361.0
2020-06-01,Baardheere,578.0,201.0
2020-07-01,Baardheere,412.0,109.0
2020-08-01,Baardheere,273.0,117.0
2020-09-01,Baardheere,152.0,182.0
2020-10-01,Baardheere,97.0,157.0
2020-11-01,Baardheere,257.0,164.0
2020-12-01,Baardheere,255.0,234.0
2021-01-01,Baardheere,0.0,190.0
2021-02-01,Baardheere,109.0,211.0
2021-03-01,Baardheere,241.0,152.0
2021-04-01,Baardheere,272.0,175.0
2021-05-01,Baardheere,168.0,97.0
2021-06-01,Baardheere,100.0,122.0
2021-07-01,Baardheere,50.0,100.0
2021-08-01,Baardheere,79.0,98.0
2021-09-01,Baardheere,77.0,479.0
2021-10-01,Baardheere,58.0,256.0
2021-11-01,Baardheere,88.0,237.0
2019-01-01,Baidoa,1620.0,1948.0
2019-02-01,Baidoa,1641.0,1284.0
2019-03-01,Baidoa,1254.0,1424.0
2019-04-01,Baidoa,2482.0,1531.0
2019-05-01,Baidoa,2283.0,1804.0
2019-06-01,Baidoa,1942.0,1948.0
2019-07-01,Baidoa,2047.0,1794.0
2019-08-01,Baidoa,1473.0,1094.0
2019-09-01,Baidoa,1608.0,1587.0
2019-10-01,Baidoa,1051.0,916.0
2019-11-01,Baidoa,909.0,896.0
2019-12-01,Baidoa,1259.0,864.0
2020-01-01,Baidoa,1339.0,1775.0
2020-02-01,Baidoa,1776.0,1515.0
2020-03-01,Baidoa,2474.0,1391.0
2020-04-01,Baidoa,2442.0,1265.0
2020-05-01,Baidoa,486.0,1272.0
2020-06-01,Baidoa,2175.0,1881.0
2020-07-01,Baidoa,1850.0,1368.0
2020-08-01,Baidoa,1067.0,1145.0
2020-09-01,Baidoa,1162.0,1049.0
2020-10-01,Baidoa,1262.0,1136.0
2020-11-01,Baidoa,1265.0,1076.0
2020-12-01,Baidoa,1776.0,1432.0
2021-01-01,Baidoa,2167.0,1590.0
2021-02-01,Baidoa,1443.0,1392.0
2021-03-01,Baidoa,1254.0,1562.0
2021-04-01,Baidoa,2364.0,1741.0
