date,district,n_battles,n_explosions,n_protests,n_riots,n_strategicdev,n_violcivilians,n_conflict_total
2019-01-01,Adan Yabaal,1.0,,,,2.0,,3.0
2019-04-01,Adan Yabaal,1.0,,,,,2.0,3.0
2019-05-01,Adan Yabaal,1.0,,,,1.0,,2.0
2019-06-01,Adan Yabaal,1.0,,,,,,1.0
2019-07-01,Adan Yabaal,,,,,,3.0,3.0
2019-08-01,Adan Yabaal,4.0,2.0,,,,,6.0
2019-09-01,Adan Yabaal,2.0,,,,,1.0,3.0
2019-11-01,Adan Yabaal,,2.0,,,,,2.0
2020-01-01,Adan Yabaal,,1.0,,,,,1.0
2020-02-01,Adan Yabaal,1.0,,,,,,1.0
2020-04-01,Adan Yabaal,,1.0,,,,,1.0
2020-05-01,Adan Yabaal,,,,,,1.0,1.0
2020-06-01,Adan Yabaal,,,,,,1.0,1.0
2020-07-01,Adan Yabaal,,1.0,,,,,1.0
2020-09-01,Adan Yabaal,,,,,1.0,1.0,2.0
2020-12-01,Adan Yabaal,,,,,,1.0,1.0
2016-10-01,Afgooye,13.0,2.0,,,2.0,7.0,24.0
2016-11-01,Afgooye,11.0,4.0,,,1.0,5.0,21.0
2016-12-01,Afgooye,11.0,8.0,,,1.0,3.0,23.0
2017-01-01,Afgooye,10.0,6.0,,,,6.0,22.0
2017-02-01,Afgooye,10.0,3.0,,,,2.0,15.0
2017-03-01,Afgooye,4.0,1.0,,,,4.0,9.0
2017-04-01,Afgooye,9.0,7.0,,,1.0,2.0,19.0
2017-05-01,Afgooye,13.0,3.0,,,1.0,4.0,21.0
2017-06-01,Afgooye,8.0,12.0,,,1.0,4.0,25.0
2017-07-01,Afgooye,11.0,8.0,,1.0,1.0,3.0,24.0
2017-08-01,Afgooye,9.0,7.0,1.0,,2.0,8.0,27.0
2017-09-01,Afgooye,6.0,13.0,2.0,,3.0,4.0,28.0
2017-10-01,Afgooye,28.0,7.0,,,4.0,2.0,41.0
2017-11-01,Afgooye,11.0,6.0,,,3.0,2.0,22.0
2017-12-01,Afgooye,10.0,3.0,,1.0,,4.0,18.0
2018-01-01,Afgooye,10.0,2.0,,,,5.0,17.0
2018-02-01,Afgooye,17.0,9.0,1.0,,2.0,3.0,32.0
2018-03-01,Afgooye,9.0,5.0,,,1.0,3.0,18.0
2018-04-01,Afgooye,6.0,5.0,,,,2.0,13.0
2018-05-01,Afgooye,4.0,9.0,,,,1.0,14.0
2018-06-01,Afgooye,13.0,3.0,,,,2.0,18.0
2018-07-01,Afgooye,8.0,6.0,,,,3.0,17.0
2018-08-01,Afgooye,11.0,6.0,,,,1.0,18.0
2018-09-01,Afgooye,8.0,6.0,,,,2.0,16.0
2018-10-01,Afgooye,11.0,4.0,,1.0,,4.0,20.0
2018-11-01,Afgooye,5.0,3.0,,,1.0,5.0,14.0
2018-12-01,Afgooye,6.0,4.0,,,3.0,2.0,15.0
2019-01-01,Afgooye,10.0,1.0,,,4.0,1.0,16.0
2019-02-01,Afgooye,9.0,2.0,,,1.0,2.0,14.0
2019-03-01,Afgooye,6.0,1.0,,,2.0,2.0,11.0
2019-04-01,Afgooye,6.0,,,,,3.0,9.0
2019-05-01,Afgooye,15.0,8.0,,,,3.0,26.0
2019-06-01,Afgooye,8.0,2.0,,,2.0,4.0,16.0
2019-07-01,Afgooye,15.0,6.0,,1.0,,3.0,25.0
2019-08-01,Afgooye,21.0,5.0,,,1.0,3.0,30.0
2019-09-01,Afgooye,7.0,3.0,,,,1.0,11.0
2019-10-01,Afgooye,7.0,6.0,,,1.0,5.0,19.0
2019-11-01,Afgooye,8.0,9.0,,,,6.0,23.0
2019-12-01,Afgooye,19.0,2.0,,,,4.0,25.0
2020-01-01,Afgooye,14.0,3.0,,,1.0,3.0,21.0
