date,area,level1_name,population_analysed,area_phase,phase1_n,phase1_perc,phase2_n,phase2_perc,phase3_n,phase3_perc,phase4_n,phase4_perc,phase5_n,phase5_perc,phase3plus_n,phase3plus_perc,proj_population_analyzed,proj_area_phase,proj_analysis_period,proj_phase1_n,proj_phase1_perc,proj_phase2_n,proj_phase2_perc,proj_phase3_n,proj_phase3_perc,proj_phase4_n,proj_phase4_perc,proj_phase5_n,proj_phase5_perc,proj_phase3plus_n,proj_phase3plus_perc
2021-01-01,Baki,Awdal,99157,2,63957,0.65,21300,0.23,10000.0,0.1,3900.0,0.04,0.0,0.0,36688,0.37,99157,2,Apr 2021 - Jun 2021,56519,0.57,25781,0.26,11899.0,0.12,4958.0,0.05,0.0,0.0,17000,0.17
2021-01-01,Borama,Awdal,453434,2,305534,0.67,97800,0.25,46200.0,0.1,3900.0,0.01,0.0,0.0,50100,0.11,453434,2,Apr 2021 - Jun 2021,263834,0.58,116800,0.26,67300.0,0.15,5500.0,0.01,0.0,0.0,72800,0.16
2021-01-01,Lughaye,Awdal,99157,2,64457,0.65,19800,0.33,10400.0,0.1,4500.0,0.05,0.0,0.0,14900,0.15,99157,3,Apr 2021 - Jun 2021,41657,0.42,24900,0.25,19800.0,0.2,12800.0,0.13,0.0,0.0,32600,0.33
2021-01-01,Zeylac,Awdal,72825,2,47425,0.65,14500,0.34,7500.0,0.1,3400.0,0.05,0.0,0.0,10900,0.15,72825,3,Apr 2021 - Jun 2021,30525,0.42,18200,0.25,14200.0,0.19,9900.0,0.14,0.0,0.0,24100,0.33
2021-01-01,Ceel barde,Bakool,50827,2,41227,0.81,5300,0.14,4000.0,0.08,300.0,0.01,0.0,0.0,4300,0.09,50827,2,Apr 2021 - Jun 2021,38127,0.75,7300,0.14,4800.0,0.09,600.0,0.01,0.0,0.0,5400,0.1
2021-01-01,Rab dhuure,Bakool,32986,1,26186,0.79,4500,0.11,2200.0,0.07,100.0,0.0,0.0,0.0,2300,0.07,32986,2,Apr 2021 - Jun 2021,22586,0.68,5700,0.17,4600.0,0.14,100.0,0.0,0.0,0.0,4700,0.14
2021-01-01,Tayeeglow,Bakool,51734,2,37534,0.73,9800,0.19,4400.0,0.09,0.0,0.0,0.0,0.0,4400,0.09,51734,2,Apr 2021 - Jun 2021,31234,0.6,11700,0.23,7800.0,0.15,1000.0,0.02,0.0,0.0,8800,0.17
2021-01-01,Waajid,Bakool,69575,2,50175,0.72,12500,0.19,6500.0,0.09,400.0,0.01,0.0,0.0,6900,0.1,69575,3,Apr 2021 - Jun 2021,41275,0.59,14900,0.21,11600.0,0.17,1800.0,0.03,0.0,0.0,13400,0.2
2021-01-01,Xudur,Bakool,79232,2,54232,0.68,15500,0.22,8800.0,0.11,700.0,0.01,0.0,0.0,9500,0.12,79232,3,Apr 2021 - Jun 2021,43332,0.55,18200,0.23,14800.0,0.19,2900.0,0.04,0.0,0.0,17700,0.23
2021-01-01,Banadir,Banadir,2228463,2,1794763,0.81,359100,0.22,74600.0,0.03,0.0,0.0,0.0,0.0,74600,0.03,2228463,2,Apr 2021 - Jun 2021,1497263,0.67,470600,0.21,235700.0,0.11,24900.0,0.01,0.0,0.0,260600,0.12
2021-01-01,Bandarbeyla,Bari,15023,3,8223,0.55,3500,0.26,2700.0,0.18,600.0,0.04,0.0,0.0,3300,0.22,15023,3,Apr 2021 - Jun 2021,6323,0.42,3700,0.25,3900.0,0.26,1100.0,0.07,0.0,0.0,5000,0.33
2021-01-01,Bossaso,Bari,467020,3,260720,0.56,94500,0.27,105000.0,0.22,6800.0,0.01,0.0,0.0,111800,0.23,467020,3,Apr 2021 - Jun 2021,180420,0.39,116800,0.25,149100.0,0.32,20700.0,0.04,0.0,0.0,169800,0.36
2021-01-01,Caluula,Bari,51766,2,31566,0.61,12100,0.29,7700.0,0.15,400.0,0.01,0.0,0.0,8100,0.16,51766,3,Apr 2021 - Jun 2021,27266,0.53,12900,0.25,10900.0,0.21,700.0,0.01,0.0,0.0,11600,0.22
2021-01-01,Iskushuban,Bari,62264,2,35764,0.57,15400,0.28,10200.0,0.16,900.0,0.01,0.0,0.0,11100,0.17,62264,3,Apr 2021 - Jun 2021,29864,0.48,15600,0.25,14500.0,0.23,2300.0,0.04,0.0,0.0,16800,0.27
2021-01-01,Qandala,Bari,52515,2,32715,0.62,12900,0.29,6600.0,0.13,300.0,0.01,0.0,0.0,6900,0.14,52515,3,Apr 2021 - Jun 2021,28315,0.54,13200,0.25,10200.0,0.19,800.0,0.02,0.0,0.0,11000,0.21
2021-01-01,Qardho,Bari,64346,3,35446,0.55,13700,0.27,10500.0,0.16,4700.0,0.07,0.0,0.0,15200,0.23,64346,3,Apr 2021 - Jun 2021,24546,0.38,16000,0.25,17400.0,0.27,6400.0,0.1,0.0,0.0,23800,0.37
2021-01-01,Baydhaba,Bay,515337,2,320437,0.62,105900,0.29,79600.0,0.15,9400.0,0.02,0.0,0.0,89000,0.17,515337,3,Apr 2021 - Jun 2021,240537,0.47,118300,0.23,124100.0,0.24,32400.0,0.06,0.0,0.0,156500,0.3
2021-01-01,Buur hakaba,Bay,129759,2,98859,0.76,18500,0.26,12400.0,0.1,0.0,0.0,0.0,0.0,12400,0.1,129759,2,Apr 2021 - Jun 2021,84859,0.65,24000,0.18,18400.0,0.14,2500.0,0.02,0.0,0.0,20900,0.16
2021-01-01,Diinsoor,Bay,139564,2,100564,0.72,21800,0.28,16400.0,0.12,800.0,0.01,0.0,0.0,17200,0.13,139564,3,Apr 2021 - Jun 2021,84564,0.61,27100,0.19,24200.0,0.17,3700.0,0.03,0.0,0.0,27900,0.2
2021-01-01,Qansax dheere,Bay,61939,2,48439,0.78,7300,0.29,6200.0,0.1,0.0,0.0,0.0,0.0,6200,0.1,61939,2,Apr 2021 - Jun 2021,41539,0.67,10100,0.16,9300.0,0.15,1000.0,0.02,0.0,0.0,10300,0.17
2021-01-01,Cabudwaaq,Galgaduud,111449,2,72149,0.65,25100,0.33,14200.0,0.13,0.0,0.0,0.0,0.0,14200,0.13,111449,3,Apr 2021 - Jun 2021,59949,0.54,27800,0.25,21000.0,0.19,2700.0,0.02,0.0,0.0,23700,0.21
2021-01-01,Cadaado,Galgaduud,77426,2,50126,0.65,19800,0.29,7500.0,0.1,0.0,0.0,0.0,0.0,7500,0.1,77426,2,Apr 2021 - Jun 2021,44326,0.57,20200,0.26,11600.0,0.15,1300.0,0.02,0.0,0.0,12900,0.17
2021-01-01,Ceel buur,Galgaduud,66070,2,42370,0.64,16500,0.27,6400.0,0.1,800.0,0.01,0.0,0.0,7200,0.11,66070,3,Apr 2021 - Jun 2021,36270,0.55,16800,0.25,10600.0,0.16,2400.0,0.04,0.0,0.0,13000,0.2
