date,district,Average of centy,Average of centx
2016-02-01,Adan Yabaal,3.549436,46.54467
2016-03-01,Adan Yabaal,3.549436,46.54467
2016-04-01,Adan Yabaal,3.549436,46.54467
2016-05-01,Adan Yabaal,3.549436,46.54467
2016-06-01,Adan Yabaal,3.549436,46.54467
2016-07-01,Adan Yabaal,3.549436,46.54467
2016-08-01,Adan Yabaal,3.549436,46.54467
2016-09-01,Adan Yabaal,3.549436,46.54467
2016-10-01,Adan Yabaal,3.549436,46.54467
2016-11-01,Adan Yabaal,3.549436,46.54467
2016-12-01,Adan Yabaal,3.549436,46.54467
2017-01-01,Adan Yabaal,3.549436,46.54467
2017-02-01,Adan Yabaal,3.549436,46.54467
2017-03-01,Adan Yabaal,3.549436,46.54467
2017-04-01,Adan Yabaal,3.549436,46.54467
2017-05-01,Adan Yabaal,3.549436,46.54467
2017-06-01,Adan Yabaal,3.549436,46.54467
2017-07-01,Adan Yabaal,3.549436,46.54467
2017-08-01,Adan Yabaal,3.549436,46.54467
2017-09-01,Adan Yabaal,3.549436,46.54467
2017-10-01,Adan Yabaal,3.549436,46.54467
2017-11-01,Adan Yabaal,3.549436,46.54467
2017-12-01,Adan Yabaal,3.549436,46.54467
2018-01-01,Adan Yabaal,3.549436,46.54467
2018-02-01,Adan Yabaal,3.549436,46.54467
2018-03-01,Adan Yabaal,3.549436,46.54467
2018-04-01,Adan Yabaal,3.549436,46.54467
2018-05-01,Adan Yabaal,3.549436,46.54467
2018-06-01,Adan Yabaal,3.549436,46.54467
2018-07-01,Adan Yabaal,3.549436,46.54467
2018-08-01,Adan Yabaal,3.549436,46.54467
2018-09-01,Adan Yabaal,3.549436,46.54467
2018-10-01,Adan Yabaal,3.549436,46.54467
2018-11-01,Adan Yabaal,3.549436,46.54467
2018-12-01,Adan Yabaal,3.549436,46.54467
2019-01-01,Adan Yabaal,3.549436,46.54467
2019-02-01,Adan Yabaal,3.549436,46.54467
2019-03-01,Adan Yabaal,3.549436,46.54467
2019-04-01,Adan Yabaal,3.549436,46.54467
2019-05-01,Adan Yabaal,3.549436,46.54467
2019-06-01,Adan Yabaal,3.549436,46.54467
2019-07-01,Adan Yabaal,3.549436,46.54467
2019-08-01,Adan Yabaal,3.549436,46.54467
2019-09-01,Adan Yabaal,3.549436,46.54467
2019-10-01,Adan Yabaal,3.549436,46.54467
2019-11-01,Adan Yabaal,3.549436,46.54467
2019-12-01,Adan Yabaal,3.549436,46.54467
2020-01-01,Adan Yabaal,3.549436,46.54467
2020-02-01,Adan Yabaal,3.549436,46.54467
2016-02-01,Afgooye,2.236402,45.07666
2016-03-01,Afgooye,2.236402,45.07666
2016-04-01,Afgooye,2.236402,45.07666
2016-05-01,Afgooye,2.236402,45.07666
2016-06-01,Afgooye,2.236402,45.07666
2016-07-01,Afgooye,2.236402,45.07666
2016-08-01,Afgooye,2.236402,45.07666
2016-09-01,Afgooye,2.236402,45.07666
2016-10-01,Afgooye,2.236402,45.07666
2016-11-01,Afgooye,2.236402,45.07666
2016-12-01,Afgooye,2.236402,45.07666
2017-01-01,Afgooye,2.236402,45.07666
2017-02-01,Afgooye,2.236402,45.07666
2017-03-01,Afgooye,2.236402,45.07666
2017-04-01,Afgooye,2.236402,45.07666
2017-05-01,Afgooye,2.236402,45.07666
2017-06-01,Afgooye,2.236402,45.07666
2017-07-01,Afgooye,2.236402,45.07666
2017-08-01,Afgooye,2.236402,45.07666
2017-09-01,Afgooye,2.236402,45.07666
2017-10-01,Afgooye,2.236402,45.07666
2017-11-01,Afgooye,2.236402,45.07666
2017-12-01,Afgooye,2.236402,45.07666
2018-01-01,Afgooye,2.236402,45.07666
2018-02-01,Afgooye,2.236402,45.07666
2018-03-01,Afgooye,2.236402,45.07666
2018-04-01,Afgooye,2.236402,45.07666
2018-05-01,Afgooye,2.236402,45.07666
2018-06-01,Afgooye,2.236402,45.07666
2018-07-01,Afgooye,2.236402,45.07666
2018-08-01,Afgooye,2.236402,45.07666
2018-09-01,Afgooye,2.236402,45.07666
2018-10-01,Afgooye,2.236402,45.07666
2018-11-01,Afgooye,2.236402,45.07666
2018-12-01,Afgooye,2.236402,45.07666
2019-01-01,Afgooye,2.236402,45.07666
2019-02-01,Afgooye,2.236402,45.07666
2019-03-01,Afgooye,2.236402,45.07666
2019-04-01,Afgooye,2.236402,45.07666
2019-05-01,Afgooye,2.236402,45.07666
2019-06-01,Afgooye,2.236402,45.07666
2019-07-01,Afgooye,2.236402,45.07666
2019-08-01,Afgooye,2.236402,45.07666
2019-09-01,Afgooye,2.236402,45.07666
2019-10-01,Afgooye,2.236402,45.07666
2019-11-01,Afgooye,2.236402,45.07666
2019-12-01,Afgooye,2.236402,45.07666
2020-01-01,Afgooye,2.236402,45.07666
2020-02-01,Afgooye,2.236402,45.07666
2016-02-01,Afmadow,0.5909003,41.78618
2016-03-01,Afmadow,0.5909003,41.78618
2016-04-01,Afmadow,0.5909003,41.78618
2016-05-01,Afmadow,0.5909003,41.78618
2016-06-01,Afmadow,0.5909003,41.78618
2016-07-01,Afmadow,0.5909003,41.78618
2016-08-01,Afmadow,0.5909003,41.78618
2016-09-01,Afmadow,0.5909003,41.78618
2016-10-01,Afmadow,0.5909003,41.78618
2016-11-01,Afmadow,0.5909003,41.78618
2016-12-01,Afmadow,0.5909003,41.78618
2017-01-01,Afmadow,0.5909003,41.78618
2017-02-01,Afmadow,0.5909003,41.78618
2017-03-01,Afmadow,0.5909003,41.78618
2017-04-01,Afmadow,0.5909003,41.78618
2017-05-01,Afmadow,0.5909003,41.78618
2017-06-01,Afmadow,0.5909003,41.78618
2017-07-01,Afmadow,0.5909003,41.78618
2017-08-01,Afmadow,0.5909003,41.78618
2017-09-01,Afmadow,0.5909003,41.78618
2017-10-01,Afmadow,0.5909003,41.78618
2017-11-01,Afmadow,0.5909003,41.78618
2017-12-01,Afmadow,0.5909003,41.78618
2018-01-01,Afmadow,0.5909003,41.78618
2018-02-01,Afmadow,0.5909003,41.78618
2018-03-01,Afmadow,0.5909003,41.78618
2018-04-01,Afmadow,0.5909003,41.78618
2018-05-01,Afmadow,0.5909003,41.78618
2018-06-01,Afmadow,0.5909003,41.78618
2018-07-01,Afmadow,0.5909003,41.78618
2018-08-01,Afmadow,0.5909003,41.78618
2018-09-01,Afmadow,0.5909003,41.78618
2018-10-01,Afmadow,0.5909003,41.78618
2018-11-01,Afmadow,0.5909003,41.78618
2018-12-01,Afmadow,0.5909003,41.78618
2019-01-01,Afmadow,0.5909003,41.78618
2019-02-01,Afmadow,0.5909003,41.78618
2019-03-01,Afmadow,0.5909003,41.78618
2019-04-01,Afmadow,0.5909003,41.78618
2019-05-01,Afmadow,0.5909003,41.78618
2019-06-01,Afmadow,0.5909003,41.78618
2019-07-01,Afmadow,0.5909003,41.78618
2019-08-01,Afmadow,0.5909003,41.78618
2019-09-01,Afmadow,0.5909003,41.78618
2019-10-01,Afmadow,0.5909003,41.78618
2019-11-01,Afmadow,0.5909003,41.78618
2019-12-01,Afmadow,0.5909003,41.78618
2020-01-01,Afmadow,0.5909003,41.78618
2020-02-01,Afmadow,0.5909003,41.78618
2016-02-01,Baardheere,2.102048,41.70671
2016-03-01,Baardheere,2.102048,41.70671
2016-04-01,Baardheere,2.102048,41.70671
2016-05-01,Baardheere,2.102048,41.70671
2016-06-01,Baardheere,2.102048,41.70671
2016-07-01,Baardheere,2.102048,41.70671
2016-08-01,Baardheere,2.102048,41.70671
2016-09-01,Baardheere,2.102048,41.70671
2016-10-01,Baardheere,2.102048,41.70671
2016-11-01,Baardheere,2.102048,41.70671
2016-12-01,Baardheere,2.102048,41.70671
2017-01-01,Baardheere,2.102048,41.70671
2017-02-01,Baardheere,2.102048,41.70671
2017-03-01,Baardheere,2.102048,41.70671
2017-04-01,Baardheere,2.102048,41.70671
2017-05-01,Baardheere,2.102048,41.70671
2017-06-01,Baardheere,2.102048,41.70671
2017-07-01,Baardheere,2.102048,41.70671
2017-08-01,Baardheere,2.102048,41.70671
2017-09-01,Baardheere,2.102048,41.70671
2017-10-01,Baardheere,2.102048,41.70671
2017-11-01,Baardheere,2.102048,41.70671
2017-12-01,Baardheere,2.102048,41.70671
2018-01-01,Baardheere,2.102048,41.70671
2018-02-01,Baardheere,2.102048,41.70671
2018-03-01,Baardheere,2.102048,41.70671
2018-04-01,Baardheere,2.102048,41.70671
2018-05-01,Baardheere,2.102048,41.70671
2018-06-01,Baardheere,2.102048,41.70671
2018-07-01,Baardheere,2.102048,41.70671
2018-08-01,Baardheere,2.102048,41.70671
2018-09-01,Baardheere,2.102048,41.70671
2018-10-01,Baardheere,2.102048,41.70671
2018-11-01,Baardheere,2.102048,41.70671
2018-12-01,Baardheere,2.102048,41.70671
2019-01-01,Baardheere,2.102048,41.70671
2019-02-01,Baardheere,2.102048,41.70671
2019-03-01,Baardheere,2.102048,41.70671
2019-04-01,Baardheere,2.102048,41.70671
2019-05-01,Baardheere,2.102048,41.70671
2019-06-01,Baardheere,2.102048,41.70671
2019-07-01,Baardheere,2.102048,41.70671
2019-08-01,Baardheere,2.102048,41.70671
2019-09-01,Baardheere,2.102048,41.70671
2019-10-01,Baardheere,2.102048,41.70671
2019-11-01,Baardheere,2.102048,41.70671
2019-12-01,Baardheere,2.102048,41.70671
2020-01-01,Baardheere,2.102048,41.70671
2020-02-01,Baardheere,2.102048,41.70671
2016-02-01,Badhaadhe,-0.8536984000000001,41.42942
2016-03-01,Badhaadhe,-0.8536984000000001,41.42942
2016-04-01,Badhaadhe,-0.8536984000000001,41.42942
