date,district,Cowpea,Ground Nuts,Maize,Onion,Pepper,Rice,Sesame,Sorghum,Tomato,Water Melon
1995-07-01,Adan Yabaal,,,,,,,,220.0,,
1995-07-01,Afgooye,,,16.381,,,,,409.0,,
1995-07-01,Afmadow,,,,,,,,,,
1995-07-01,Baardheere,,,138.0,,,,,5.18,,
1995-07-01,Badhaadhe,,,,,,,,,,
1995-07-01,Balcad,,,4.235,,,,,922.0,,
1995-07-01,Baraawe,,,402.0,,,,,,,
1995-07-01,Baydhaba,,,,,,,,10.047,,
1995-07-01,Belet Weyne,,,518.0,,,,,2.762,,
1995-07-01,Belet Xaawo,,,2.0,,,,,343.0,,
1995-07-01,Borama,,,,,,,,,,
1995-07-01,Bu'aale,,,964.0,,,,,409.0,,
1995-07-01,Bulo Burto,,,690.0,,,,,1.987,,
1995-07-01,Burco,,,,,,,,,,
1995-07-01,Buur Hakaba,,,,,,,,7.149,,
1995-07-01,Cadale,,,,,,,,,,
1995-07-01,Ceel Bur,,,,,,,,,,
1995-07-01,Ceel Dheer,,,,,,,,,,
1995-07-01,Diinsoor,,,,,,,,4.4,,
1995-07-01,Doolow,,,45.0,,,,,1.27,,
1995-07-01,El berde,,,,,,,,,,
1995-07-01,Garbaharey/Burdhuubo,,,38.0,,,,,6.0,,
1995-07-01,Gebiley,,,,,,,,,,
1995-07-01,Hagar,,,,,,,,,,
1995-07-01,Hargeysa,,,,,,,,,,
1995-07-01,Hobyo,,,,,,,,,,
1995-07-01,Jalalaqsi,,,2.545,,,,,926.0,,
1995-07-01,Jamaame,,,6.188,,,,,,,
1995-07-01,Jilib,,,2.819,,,,,522.0,,
1995-07-01,Jowhar,,,11.621,,,,,2.742,,
1995-07-01,Kismaayo,,,233.0,,,,,7.0,,
1995-07-01,Kurtunwaarey,,,289.0,,,,,,,
1995-07-01,Luuq,,,128.0,,,,,20.0,,
1995-07-01,Marka,,,18.224,,,,,1.107,,
1995-07-01,Owdweyne,,,,,,,,,,
1995-07-01,Qansax Dheere,,,,,,,,8.403,,
1995-07-01,Qoryooley,,,18.728,,,,,4.0,,
1995-07-01,Rab Dhuure,,,,,,,,,,
1995-07-01,Saakow,,,1.308,,,,,3.708,,
1995-07-01,Sablaale,,,202.0,,,,,,,
1995-07-01,Sheikh,,,,,,,,,,
1995-07-01,Tayeeglow,,,511.0,,,,,2.724,,
1995-07-01,Waajid,,,,,,,,367.0,,
1995-07-01,Wanla weyn,,,2.459,,,,,5.524,,
1995-07-01,Xarardheere,,,,,,,,,,
1995-07-01,Xudur,,,,,,,,1.459,,
1996-01-01,Adan Yabaal,,,,,,,,390.0,,
1996-01-01,Afgooye,,,6.369,,,,,7.5,,
1996-01-01,Afmadow,,,,,,,,800.0,,
1996-01-01,Baardheere,,,47.0,,,,,1.2,,
1996-01-01,Badhaadhe,,,,,,,,,,
1996-01-01,Balcad,,,2.355,,,,,1.68,,
1996-01-01,Baraawe,,,337.0,,,,,,,
1996-01-01,Baydhaba,,,,,,,,5.07,,
1996-01-01,Belet Weyne,,,131.0,,,,,900.0,,
1996-01-01,Belet Xaawo,,,1.0,,,,,40.0,,
1996-01-01,Borama,,,,,,,,,,
1996-01-01,Bu'aale,,,97.0,,,,,441.0,,
1996-01-01,Bulo Burto,,,339.0,,,,,2.25,,
1996-01-01,Burco,,,,,,,,,,
1996-01-01,Buur Hakaba,,,,,,,,3.0,,
1996-01-01,Cadale,,,,,,,,,,
1996-01-01,Ceel Bur,,,,,,,,,,
1996-01-01,Ceel Dheer,,,,,,,,,,
1996-01-01,Diinsoor,,,,,,,,12.22,,
1996-01-01,Doolow,,,15.0,,,,,,,
1996-01-01,El berde,,,,,,,,,,
